name,city,country,IATA,ICAO,lat,lon,timezone
Summerside ,Summerside,Canada,YSU,CYSU,46.44060134887695,-63.83359909057617,-4
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) ,Sachs Harbour,Canada,YSY,CYSY,71.9938964844,-125.242996216,-7
Cape Dorset ,Cape Dorset,Canada,YTE,CYTE,64.2300033569,-76.5267028809,-5
Thompson ,Thompson,Canada,YTH,CYTH,55.80110168457031,-97.86419677734375,-6
CFB Trenton,Trenton,Canada,YTR,CYTR,44.118900299072266,-77.5280990600586,-5
Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,48.569698333699996,-81.376701355,-5
Billy Bishop Toronto City Centre ,Toronto,Canada,YTZ,CYTZ,43.627499,-79.396202,-5
Tuktoyaktuk ,Tuktoyaktuk,Canada,YUB,CYUB,69.43329620361328,-133.0260009765625,-7
Montreal / Pierre Elliott Trudeau Intl ,Montreal,Canada,YUL,CYUL,45.4706001282,-73.7407989502,-5
Repulse Bay ,Repulse Bay,Canada,YUT,CYUT,66.5214004517,-86.22470092770001,-6
Hall Beach ,Hall Beach,Canada,YUX,CYUX,68.77610015869999,-81.2425,-5
Rouyn Noranda ,Rouyn,Canada,YUY,CYUY,48.20610046386719,-78.83560180664062,-5
La Ronge ,La Ronge,Canada,YVC,CYVC,55.151401519800004,-105.262001038,-6
Vermilion ,Vermillion,Canada,YVG,CYVG,53.355800628699996,-110.823997498,-7
Qikiqtarjuaq ,Broughton Island,Canada,YVM,CYVM,67.5457992554,-64.03140258789999,-5
Val-d’Or ,Val D’or,Canada,YVO,CYVO,48.0532989502,-77.7827987671,-5
Kuujjuaq ,Quujjuaq,Canada,YVP,CYVP,58.096099853515625,-68.4269027709961,-5
Norman Wells ,Norman Wells,Canada,YVQ,CYVQ,65.28160095214844,-126.7979965209961,-7
Vancouver Intl ,Vancouver,Canada,YVR,CYVR,49.193901062,-123.183998108,-8
Buffalo Narrows ,Buffalo Narrows,Canada,YVT,CYVT,55.8418998718,-108.417999268,-6
Wiarton ,Wiarton,Canada,YVV,CYVV,44.7458,-81.107201,-5
Petawawa ,Petawawa,Canada,YWA,CYWA,45.95220184326172,-77.31919860839844,-5
Winnipeg / James Armstrong Richardson Intl ,Winnipeg,Canada,YWG,CYWG,49.909999847399995,-97.2398986816,-6
Wabush ,Wabush,Canada,YWK,CYWK,52.92190170288086,-66.8644027709961,-4
Williams Lake ,Williams Lake,Canada,YWL,CYWL,52.1831016541,-122.054000854,-8
Wrigley ,Wrigley,Canada,YWY,CYWY,63.20940017700195,-123.43699645996094,-7
Cranbrook/Canadian Rockies Intl ,Cranbrook,Canada,YXC,CYXC,49.610801696777,-115.78199768066,-7
Edmonton City Centre (Blatchford Field) ,Edmonton,Canada,YXD,CYXD,53.5724983215,-113.521003723,-7
Saskatoon John G. Diefenbaker Intl ,Saskatoon,Canada,YXE,CYXE,52.170799255371094,-106.69999694824219,-6
Medicine Hat ,Medicine Hat,Canada,YXH,CYXH,50.01890182495117,-110.72100067138672,-7
Fort St John ,Fort Saint John,Canada,YXJ,CYXJ,56.23809814453125,-120.73999786376953,-7
Sioux Lookout ,Sioux Lookout,Canada,YXL,CYXL,50.11389923095703,-91.9052963256836,-6
Pangnirtung ,Pangnirtung,Canada,YXP,CYXP,66.1449966431,-65.71360015869999,-5
Earlton (Timiskaming Regional) ,Earlton,Canada,YXR,CYXR,47.697400654599996,-79.8473453522,-5
Prince George ,Prince George,Canada,YXS,CYXS,53.8894004822,-122.679000854,-8
Northwest Regional Terrace-Kitimat,Terrace,Canada,YXT,CYXT,54.468498,-128.576009,-8
London ,London,Canada,YXU,CYXU,43.035599,-81.1539,-5
Abbotsford ,Abbotsford,Canada,YXX,CYXX,49.025299072265625,-122.36100006103516,-8
Whitehorse / Erik Nielsen Intl ,Whitehorse,Canada,YXY,CYXY,60.7095985413,-135.067001343,-8
North Bay Jack Garland ,North Bay,Canada,YYB,CYYB,46.363602,-79.422798,-5
Calgary Intl ,Calgary,Canada,YYC,CYYC,51.113899231,-114.019996643,-7
Smithers ,Smithers,Canada,YYD,CYYD,54.82469940185547,-127.18299865722656,-8
Fort Nelson ,Fort Nelson,Canada,YYE,CYYE,58.8363990784,-122.597000122,-8
Penticton ,Penticton,Canada,YYF,CYYF,49.46310043334961,-119.60199737548828,-8
Charlottetown ,Charlottetown,Canada,YYG,CYYG,46.290000915527344,-63.12110137939453,-4
Taloyoak ,Spence Bay,Canada,YYH,CYYH,69.5466995239,-93.5766983032,-7
Victoria Intl ,Victoria,Canada,YYJ,CYYJ,48.646900177,-123.426002502,-8
Lynn Lake ,Lynn Lake,Canada,YYL,CYYL,56.86389923095703,-101.07599639892578,-6
Swift Current ,Swift Current,Canada,YYN,CYYN,50.291900634799994,-107.691001892,-6
Churchill ,Churchill,Canada,YYQ,CYYQ,58.739200592041016,-94.06500244140625,-6
Goose Bay ,Goose Bay,Canada,YYR,CYYR,53.3191986084,-60.4258003235,-4
St. John’s Intl ,St. John’s,Canada,YYT,CYYT,47.618598938,-52.7518997192,-3.5
Kapuskasing ,Kapuskasing,Canada,YYU,CYYU,49.41389846801758,-82.46749877929688,-5
Armstrong ,Armstrong,Canada,YYW,CYYW,50.29029846191406,-88.90969848632812,-5
Mont Joli ,Mont Joli,Canada,YYY,CYYY,48.60860061645508,-68.20809936523438,-5
Lester B. Pearson Intl ,Toronto,Canada,YYZ,CYYZ,43.6772003174,-79.63059997559999,-5
Downsview ,Toronto,Canada,YZD,CYZD,43.74250030517578,-79.4655990600586,-5
Gore Bay Manitoulin ,Gore Bay,Canada,YZE,CYZE,45.88529968261719,-82.56780242919922,-5
Yellowknife ,Yellowknife,Canada,YZF,CYZF,62.462799072265625,-114.44000244140625,-7
Slave Lake ,Slave Lake,Canada,YZH,CYZH,55.2930984497,-114.777000427,-7
Sandspit ,Sandspit,Canada,YZP,CYZP,53.25429916379999,-131.813995361,-8
Chris Hadfield ,Sarnia,Canada,YZR,CYZR,42.9994010925293,-82.30889892578125,-5
Port Hardy ,Port Hardy,Canada,YZT,CYZT,50.680599212646484,-127.36699676513672,-8
Whitecourt ,Whitecourt,Canada,YZU,CYZU,54.14390182495117,-115.78700256347656,-7
Sept-Îles ,Sept-iles,Canada,YZV,CYZV,50.22330093383789,-66.2656021118164,-5
Teslin ,Teslin,Canada,YZW,CYZW,60.17279815673828,-132.7429962158203,-8
CFB Greenwood,Greenwood,Canada,YZX,CYZX,44.98440170288086,-64.91690063476562,-4
Faro ,Faro,Canada,ZFA,CZFA,62.20750045776367,-133.37600708007812,-8
Fort Mcpherson ,Fort Mcpherson,Canada,ZFM,CZFM,67.40750122070312,-134.86099243164062,-7
Blida ,Blida,Algeria,QLD,DAAB,36.50360107421875,2.8141698837280273,1
Bou Saada ,Bou Saada,Algeria,BUJ,DAAD,35.33250045776367,4.206389904022217,1
Soummam ,Bejaja,Algeria,BJA,DAAE,36.7120018005,5.0699200630200005,1
Houari Boumediene ,Algier,Algeria,ALG,DAAG,36.691001892089844,3.215409994125366,1
Djanet Inedbirene ,Djanet,Algeria,DJG,DAAJ,24.292801,9.45244,1
Boufarik ,Boufarik,Algeria,\N,DAAK,36.545799,2.87611,1
Reggane ,Reggan,Algeria,\N,DAAN,26.7101,0.285647,1
Illizi Takhamalt ,Illizi,Algeria,VVZ,DAAP,26.7234992981,8.62265014648,1
Ain Oussera ,Ain Oussera,Algeria,\N,DAAQ,35.52539825439453,2.8787100315093994,1
Aguenar – Hadj Bey Akhamok ,Tamanrasset,Algeria,TMR,DAAT,22.8115005493,5.45107984543,1
Jijel Ferhat Abbas ,Jijel,Algeria,GJL,DAAV,36.7951011658,5.87361001968,1
Mecheria ,Mecheria,Algeria,MZW,DAAY,33.535900116,-0.242353007197,1
Relizane ,Relizane,Algeria,\N,DAAZ,35.752201,0.626272,1
Rabah Bitat ,Annaba,Algeria,AAE,DABB,36.822201,7.809174,1
Mohamed Boudiaf Intl ,Constantine,Algeria,CZL,DABC,36.2760009765625,6.620389938354492,1
Cheikh Larbi Tébessi ,Tebessa,Algeria,TEE,DABS,35.4315986633,8.12071990967,1
Hassi R’Mel ,Tilrempt,Algeria,HRM,DAFH,32.93040084838867,3.311539888381958,1
Bou Chekif ,Tiaret,Algeria,TID,DAOB,35.3410987854,1.46315002441,1
Bou Sfer ,Bou Sfer,Algeria,\N,DAOE,35.73540115356445,-0.8053889870643616,1
Tindouf ,Tindouf,Algeria,TIN,DAOF,27.7003993988,-8.167099952700001,1
Ech Cheliff ,Ech-cheliff,Algeria,CFK,DAOI,36.2126998901,1.33176994324,1
Tafaraoui ,Oran,Algeria,TAF,DAOL,35.54240036010742,-0.5322780013084412,1
Zenata – Messali El Hadj ,Tlemcen,Algeria,TLM,DAON,35.0167007446,-1.45000004768,1
Es Senia ,Oran,Algeria,ORN,DAOO,35.6239013672,-0.6211829781529999,1
Sidi Bel Abbes ,Sidi Bel Abbes,Algeria,BFW,DAOS,35.1717987061,-0.593275010586,1
Ghriss ,Ghriss,Algeria,MUW,DAOV,35.207698822021484,0.14714199304580688,1
Touat Cheikh Sidi Mohamed Belkebir ,Adrar,Algeria,AZR,DAUA,27.837600708007812,-0.18641400337219238,1
Biskra ,Biskra,Algeria,BSK,DAUB,34.793300628699996,5.73823022842,1
El Golea ,El Golea,Algeria,ELG,DAUE,30.571300506591797,2.8595900535583496,1
Noumérat – Moufdi Zakaria ,Ghardaia,Algeria,GHA,DAUG,32.38410186767578,3.794110059738159,1
Oued Irara ,Hassi Messaoud,Algeria,HME,DAUH,31.673000335699996,6.140439987180001,1
In Salah ,In Salah,Algeria,INZ,DAUI,27.250999450699997,2.51202011108,1
Touggourt Sidi Madhi ,Touggourt,Algeria,TGR,DAUK,33.06779861450195,6.088669776916504,1
Laghouat ,Laghouat,Algeria,LOO,DAUL,33.764400482199996,2.92833995819,1
Timimoun ,Timimoun,Algeria,TMX,DAUT,29.2371006012,0.276033014059,1
Ain el Beida ,Ouargla,Algeria,OGX,DAUU,31.917200088500977,5.412779808044434,1
In Aménas ,Zarzaitine,Algeria,IAM,DAUZ,28.0515,9.64291,1
Cadjehoun ,Cotonou,Benin,COO,DBBB,6.357230186462402,2.384350061416626,1
Ouagadougou ,Ouagadougou,Burkina Faso,OUA,DFFD,12.3532,-1.51242,0
Bobo Dioulasso ,Bobo-dioulasso,Burkina Faso,BOY,DFOO,11.160099983215332,-4.33096981048584,0
Kotoka Intl ,Accra,Ghana,ACC,DGAA,5.605189800262451,-0.16678600013256073,0
Tamale ,Tamale,Ghana,TML,DGLE,9.55718994140625,-0.8632140159606934,0
Wa ,Wa,Ghana,\N,DGLW,10.0826997756958,-2.507689952850342,0
Sunyani ,Sunyani,Ghana,NYI,DGSN,7.361830234527588,-2.3287599086761475,0
Takoradi ,Takoradi,Ghana,TKD,DGTK,4.896059989929199,-1.7747600078582764,0
Port Bouet ,Abidjan,Cote d’Ivoire,ABJ,DIAP,5.261390209197998,-3.9262900352478027,0
Bouaké ,Bouake,Cote d’Ivoire,BYK,DIBK,7.738800048828125,-5.073669910430908,0
Daloa ,Daloa,Cote d’Ivoire,DJO,DIDL,6.792809963226318,-6.473189830780029,0
Korhogo ,Korhogo,Cote d’Ivoire,HGO,DIKO,9.38718032837,-5.55666017532,0
Man ,Man,Cote d’Ivoire,MJC,DIMN,7.272069931030273,-7.58735990524292,0
San Pedro ,San Pedro,Cote d’Ivoire,SPY,DISP,4.746719837188721,-6.660820007324219,0
Yamoussoukro ,Yamoussoukro,Cote d’Ivoire,ASK,DIYO,6.9031701088,-5.36558008194,0
Nnamdi Azikiwe Intl ,Abuja,Nigeria,ABV,DNAA,9.006790161132812,7.263169765472412,1
Akure ,Akure,Nigeria,AKR,DNAK,7.246739864349365,5.3010101318359375,1
Benin ,Benin,Nigeria,BNI,DNBE,6.316979885101318,5.5995001792907715,1
Margaret Ekpo Intl ,Calabar,Nigeria,CBQ,DNCA,4.976019859313965,8.347200393676758,1
Akanu Ibiam Intl ,Enugu,Nigeria,ENU,DNEN,6.474269866943359,7.561960220336914,1
Gusau ,Gusau,Nigeria,\N,DNGU,12.1717,6.69611,1
Ibadan ,Ibadan,Nigeria,IBA,DNIB,7.362460136413574,3.97832989692688,1
Ilorin Intl ,Ilorin,Nigeria,ILR,DNIL,8.440210342407227,4.493919849395752,1
Yakubu Gowon ,Jos,Nigeria,JOS,DNJO,9.639829635620117,8.869050025939941,1
Kaduna ,Kaduna,Nigeria,KAD,DNKA,10.696000099182129,7.320109844207764,1
Mallam Aminu Intl ,Kano,Nigeria,KAN,DNKN,12.0476,8.52462,1
Maiduguri Intl ,Maiduguri,Nigeria,MIU,DNMA,11.855299949645996,13.080900192260742,1
Makurdi ,Makurdi,Nigeria,MDI,DNMK,7.70388,8.61394,1
Murtala Muhammed Intl ,Lagos,Nigeria,LOS,DNMM,6.5773701667785645,3.321160078048706,1
Minna ,Minna,Nigeria,MXJ,DNMN,9.652170181274414,6.462259769439697,1
Port Harcourt Intl ,Port Hartcourt,Nigeria,PHC,DNPO,5.0154900550842285,6.94959020614624,1
Sadiq Abubakar III Intl ,Sokoto,Nigeria,SKO,DNSO,12.916299819946289,5.207190036773682,1
Yola ,Yola,Nigeria,YOL,DNYO,9.257550239562988,12.430399894714355,1
Zaria ,Zaria,Nigeria,ZAR,DNZA,11.1302,7.68581,1
Maradi ,Maradi,Niger,MFQ,DRRM,13.5024995803833,7.1267499923706055,1
Diori Hamani Intl ,Niamey,Niger,NIM,DRRN,13.4815,2.18361,1
Tahoua ,Tahoua,Niger,THZ,DRRT,14.875699996948242,5.265359878540039,1
Mano Dayak Intl ,Agadez,Niger,AJY,DRZA,16.965999603271484,8.000109672546387,1
Dirkou ,Dirkou,Niger,\N,DRZD,18.968700408935547,12.86870002746582,1
Diffa ,Diffa,Niger,\N,DRZF,13.372900009155273,12.626700401306152,1
Zinder ,Zinder,Niger,ZND,DRZR,13.779000282287598,8.983759880065918,1
Monastir Habib Bourguiba Intl ,Monastir,Tunisia,MIR,DTMB,35.75809860229492,10.75469970703125,1
Tunis Carthage Intl ,Tunis,Tunisia,TUN,DTTA,36.85100173950195,10.22719955444336,1
Gafsa Ksar Intl ,Gafsa,Tunisia,GAF,DTTF,34.422000885009766,8.822500228881836,1
Gabès Matmata Intl ,Gabes,Tunisia,GAE,DTTG,33.87689971923828,10.103300094604492,1
Borj El Amri ,Bordj El Amri,Tunisia,\N,DTTI,36.72129821777344,9.94314956665039,1
Djerba Zarzis Intl ,Djerba,Tunisia,DJE,DTTJ,33.875,10.775500297546387,1
El Borma ,El Borma,Tunisia,EBM,DTTR,31.704299926757812,9.254619598388672,1
Sfax Thyna Intl ,Sfax,Tunisia,SFA,DTTX,34.71799850463867,10.690999984741211,1
